#,Split,x1_cylinders_std,x2_displacement_std,x3_horsepower_std,x4_weight_std,x5_acceleration_std,x6_model_year_std,x7_origin_std,mpg
69,train,1.428092,0.586277,0.104298,0.421864,-0.003218,0.567516,-0.724433,19.900
70,train,1.428092,2.181054,2.341079,1.562217,-1.970037,-1.608265,-0.724433,15.000
71,train,-0.890867,-0.546109,-0.861584,-0.696289,1.248393,-1.336292,-0.724433,22.000
72,train,1.428092,1.435566,1.756466,1.280634,-0.897227,-0.792347,-0.724433,13.000
73,train,0.268613,-0.489489,-0.226135,-0.220752,-0.360822,0.295544,1.745225,22.000
74,train,-1.470606,-1.206667,-0.404061,-1.028113,-0.718425,-0.792347,1.745225,18.000
75,train,0.268613,0.255998,-0.531151,0.538704,0.390145,1.383434,-0.724433,17.600
76,train,-0.890867,-0.942444,-0.658241,-0.981377,-0.182020,-1.064320,-0.724433,28.000
77,train,1.428092,1.435566,0.993927,1.259603,-0.897227,-0.792347,-0.724433,15.000
78,train,1.428092,1.001485,1.121017,0.501315,-1.254830,-1.608265,-0.724433,16.000
79,train,-0.890867,-0.951880,-0.454897,-1.021102,-0.360822,-1.608265,1.745225,27.000
80,train,0.268613,0.255998,0.104298,0.719805,1.141112,0.567516,-0.724433,18.600
81,train,-0.890867,-0.546109,-0.353225,-0.504672,-0.217780,0.023571,-0.724433,25.000
82,train,0.268613,-0.253576,-0.226135,-0.023294,-0.360822,-0.248402,-0.724433,18.000
83,train,1.428092,1.133597,1.121017,1.321527,-0.718425,-1.064320,-0.724433,15.000
84,train,-0.890867,-1.055682,-1.064928,-1.319043,0.318625,1.383434,-0.724433,39.000
85,train,1.428092,1.907394,2.137736,1.543522,-1.183310,0.295544,-0.724433,15.500
86,train,-0.890867,-1.027373,-1.115764,-1.354095,-0.074739,1.111462,0.510396,29.800
87,train,0.268613,-0.159210,0.104298,-0.068861,0.318625,1.655407,-0.724433,25.000
88,train,0.268613,0.312617,0.231388,0.281657,-0.038979,0.839489,-0.724433,21.500
89,train,1.428092,0.586277,0.104298,1.233898,1.248393,0.295544,-0.724433,17.000
90,train,0.268613,0.491911,-0.149881,0.907916,0.533187,-0.520374,-0.724433,16.000
91,train,-0.890867,-0.546109,-0.454897,-0.133123,0.640468,0.839489,-0.724433,22.300
92,train,0.268613,-0.498926,-0.759912,0.182343,1.462956,1.383434,0.510396,30.700
93,train,-0.890867,-0.951880,-0.988674,-1.190519,0.318625,0.295544,1.745225,30.000
94,train,-0.890867,-0.810332,-0.531151,-0.501167,0.247104,1.655407,-0.724433,31.000
95,train,0.268613,0.312617,-0.022791,0.620491,1.319914,0.567516,-0.724433,19.200
96,train,0.268613,-0.281885,0.358478,0.953483,0.425906,0.023571,0.510396,16.500
97,train,-0.890867,-0.725403,0.155134,-0.082882,-0.360822,-1.064320,0.510396,18.000
98,train,1.428092,1.529932,1.629376,1.927924,-0.897227,-0.792347,-0.724433,13.000
99,train,-0.890867,-0.602728,-0.276971,-0.518693,-0.468103,0.567516,1.745225,27.500
100,train,0.268613,0.010648,-0.226135,-0.268657,-0.003218,-1.608265,-0.724433,18.000
101,train,1.428092,2.181054,2.595259,1.903388,-1.612434,-1.064320,-0.724433,11.000
102,train,0.268613,0.312617,0.104298,1.055134,1.963600,-0.248402,-0.724433,17.000
103,train,1.428092,2.284856,2.773185,1.528333,-2.506442,-1.608265,-0.724433,14.000
104,train,-0.890867,-0.951880,-1.522451,-1.365778,1.784799,-1.608265,0.510396,26.000
105,train,-0.890867,-0.876388,-0.912420,-0.939315,-0.825706,0.839489,-0.724433,34.200
106,train,-0.890867,-0.942444,-1.039510,-1.120416,0.247104,1.383434,-0.724433,34.400
107,train,-0.890867,-1.102865,-1.166600,-1.453408,0.211344,1.383434,1.745225,35.100
108,train,-0.890867,-0.791459,-0.378643,-0.492988,-0.539624,-0.792347,0.510396,20.000
109,train,-0.890867,-0.725403,-0.200717,-0.068861,-0.360822,-0.248402,0.510396,22.000
110,train,1.428092,1.133597,0.739748,0.965167,-0.110499,0.839489,-0.724433,18.200
111,train,-0.890867,-1.008500,-0.988674,-1.213887,0.068302,1.655407,1.745225,32.000
112,train,-0.890867,-1.027373,-0.887002,-1.260623,-0.539624,0.839489,0.510396,31.900
113,train,-0.890867,-0.715967,-0.505733,-0.908936,0.354385,-1.064320,-0.724433,21.000
114,train,-0.890867,-0.715967,-0.505733,-0.711478,0.175583,-1.064320,-0.724433,22.000
115,train,-0.890867,-1.055682,-1.039510,-1.150794,0.318625,1.111462,1.745225,37.200
116,train,-0.890867,-0.744276,-0.149881,-0.454431,-0.253541,1.383434,1.745225,32.900
117,train,1.428092,1.133597,0.866837,0.854170,-0.825706,0.567516,-0.724433,19.400
118,train,0.268613,0.491911,-0.861584,0.180007,1.427195,-0.248402,-0.724433,15.000
119,train,-0.890867,-0.848078,-0.302389,-0.730172,0.354385,-0.792347,1.745225,22.000
120,train,0.268613,0.020084,-0.531151,-0.487146,0.175583,-1.608265,-0.724433,21.000
121,train,-0.890867,-0.744276,-0.353225,-0.665911,-0.182020,1.111462,1.745225,37.000
122,train,0.268613,0.010648,-0.404061,-0.415874,-0.182020,-1.608265,-0.724433,21.000
123,train,0.268613,0.491911,-0.149881,0.387981,0.533187,-0.520374,-0.724433,15.000
124,train,-0.890867,-1.008500,-0.963256,-1.208045,0.747749,1.655407,1.745225,31.000
125,train,-0.890867,-0.782022,-0.276971,-0.362128,-0.182020,-0.248402,0.510396,23.000
126,train,-0.890867,-0.442307,-0.454897,-0.308382,0.175583,0.295544,-0.724433,24.500
127,train,-0.890867,-1.065119,-1.369944,-1.132100,2.392724,0.023571,-0.724433,29.000
128,train,-0.890867,-0.951880,-0.709077,-0.950999,-0.503863,0.295544,0.510396,30.500
129,train,0.268613,0.491911,-0.861584,0.500147,1.963600,-0.248402,-0.724433,15.000
130,train,-0.890867,-0.876388,-1.090346,-0.921789,-0.217780,1.383434,-0.724433,34.700
131,train,-0.890867,-0.810332,-0.454897,-0.425221,1.105352,1.655407,-0.724433,27.000
132,train,-0.890867,-0.857515,-0.505733,-0.630859,-0.003218,0.023571,0.510396,28.000
133,train,-0.890867,-0.725403,0.155134,-0.158828,-0.003218,-0.792347,0.510396,19.000
134,train,-0.890867,-0.942444,-0.759912,-1.004745,-0.289301,1.111462,0.510396,41.500
135,train,1.428092,1.010922,0.993927,1.023587,-1.076029,0.295544,-0.724433,17.500
136,train,-0.890867,-0.942444,-0.581987,-0.917115,0.354385,-0.520374,0.510396,29.000
137,train,-0.890867,-0.848078,-0.327807,-0.716151,-0.003218,-0.520374,1.745225,26.000
138,train,-0.890867,-1.065119,-1.039510,-1.149626,1.319914,0.839489,1.745225,31.800
139,train,0.268613,0.322054,-0.149881,0.331898,-0.003218,-1.336292,-0.724433,18.000
140,train,1.428092,1.445003,0.816001,1.111217,-0.825706,0.839489,-0.724433,16.500
141,train,1.428092,1.435566,0.993927,1.228056,-1.254830,0.023571,-0.724433,13.000
142,train,0.268613,0.255998,-0.149881,0.731489,0.783509,0.295544,-0.724433,19.000
143,train,-0.890867,-0.489489,-0.988674,0.287499,2.249683,1.111462,0.510396,30.000
144,train,-0.890867,-0.546109,-0.404061,-0.696289,1.427195,-1.064320,-0.724433,20.000
145,train,-0.890867,-0.715967,-0.531151,-0.810791,1.069592,-0.792347,-0.724433,19.000
146,train,-0.890867,-0.442307,-0.404061,-0.314224,0.890790,1.655407,-0.724433,27.000
147,train,-0.890867,-0.546109,-0.709077,-0.481304,1.069592,-0.248402,-0.724433,23.000
148,train,1.428092,2.416967,2.900275,1.577406,-2.327641,-1.608265,-0.724433,14.000
149,train,0.268613,0.255998,0.104298,0.416022,0.390145,0.839489,-0.724433,20.600
150,train,-0.890867,-0.395124,-0.022791,-0.238278,-0.396582,1.111462,-0.724433,27.900
151,train,1.428092,1.746972,1.629376,0.653206,-1.970037,-1.608265,-0.724433,15.000
152,train,-0.890867,-1.065119,-0.912420,-1.184677,0.533187,0.023571,1.745225,32.000
153,train,1.428092,1.907394,1.553122,2.222359,-1.076029,-0.792347,-0.724433,12.000
154,train,-0.890867,-0.734840,-0.226135,-0.581786,-0.360822,-1.064320,1.745225,23.000
155,train,-0.890867,-1.065119,-0.912420,-1.237255,0.461666,0.295544,1.745225,33.500
156,train,-0.890867,-0.546109,-0.429479,-0.290856,0.104063,0.295544,-0.724433,25.500
157,train,-0.890867,-1.065119,-1.039510,-1.044470,1.319914,1.111462,1.745225,40.800
158,train,1.428092,1.435566,1.883556,1.607784,-1.219070,0.023571,-0.724433,16.500
159,train,-0.890867,-0.951880,-0.988674,-1.097048,0.819269,1.383434,1.745225,32.300
160,train,-0.890867,-1.017936,-1.471616,-1.073680,2.213923,1.111462,0.510396,44.300
161,train,1.428092,2.181054,2.341079,2.276105,-1.433632,-0.792347,-0.724433,12.000
162,train,-0.890867,-1.131175,-1.369944,-1.190519,1.391435,0.567516,1.745225,32.800
163,train,-0.890867,-0.734840,-0.226135,-0.601649,-0.182020,-0.520374,1.745225,24.000
164,train,1.428092,0.982612,0.841419,0.234921,-1.540913,0.567516,-0.724433,18.100
165,train,1.428092,1.133597,1.121017,1.440704,-0.360822,-0.792347,-0.724433,14.000
166,train,1.428092,1.907394,2.137736,1.656857,-1.076029,-1.064320,-0.724433,13.000
167,train,1.428092,1.435566,1.883556,0.771214,-1.612434,-0.792347,-0.724433,11.000
168,train,0.268613,0.255998,-0.022791,0.136776,0.354385,-0.792347,-0.724433,18.000
169,train,-0.890867,-1.083992,-1.141182,-1.169488,1.248393,-0.520374,1.745225,32.000
170,train,-0.890867,-0.536672,-0.887002,0.217395,3.322493,0.839489,0.510396,27.200
171,train,0.268613,0.491911,-0.149881,0.320214,0.890790,-0.792347,-0.724433,16.000
172,train,0.268613,0.491911,0.104298,0.602965,0.318625,0.295544,-0.724433,17.500
173,train,1.428092,1.435566,1.375197,1.696582,-0.718425,-1.064320,-0.724433,12.000
174,train,-0.890867,-0.725403,0.180552,-0.899589,-1.076029,-1.608265,0.510396,26.000
175,train,1.428092,1.435566,1.502287,1.407989,-1.254830,-1.336292,-0.724433,14.000
176,train,-0.890867,-1.017936,-0.785330,-1.026944,-0.360822,-0.520374,-0.724433,28.000
177,train,0.268613,-0.395124,0.409314,-0.230100,-0.718425,-0.792347,1.745225,20.000
178,train,1.428092,1.435566,1.248107,1.750328,-0.718425,-1.064320,-0.724433,13.000
179,train,-0.890867,-0.593291,-0.556569,-0.600480,0.068302,1.383434,-0.724433,27.200
180,train,-0.890867,-0.593291,-0.556569,-0.559587,0.175583,1.655407,-0.724433,29.000
181,train,0.268613,0.255998,-0.404061,0.440558,1.141112,1.111462,-0.724433,19.100
182,train,-0.890867,-0.442307,-0.404061,-0.380822,0.354385,1.111462,-0.724433,28.000
183,train,-0.890867,-0.442307,-0.404061,-0.063019,0.640468,1.655407,-0.724433,27.000
184,train,0.268613,0.322054,-0.149881,-0.120271,0.175583,-0.520374,-0.724433,19.000
185,train,-0.890867,-0.772586,-0.785330,-0.885569,-0.539624,-0.520374,0.510396,26.000
186,train,1.428092,1.435566,1.629376,1.356579,-1.469392,0.295544,-0.724433,15.500
187,train,1.428092,1.435566,0.993927,1.149774,-0.897227,-0.792347,-0.724433,13.000
188,train,0.268613,0.605150,-0.531151,0.012926,0.533187,1.655407,-0.724433,38.000
189,train,0.268613,0.491911,-0.709077,0.666059,1.963600,0.023571,-0.724433,18.000
190,train,-1.470606,-1.206667,-0.149881,-0.682268,-1.076029,1.111462,1.745225,23.700
191,train,-0.890867,-0.942444,-1.166600,-0.981377,2.356964,0.023571,-0.724433,24.500
192,train,-0.890867,-0.810332,-0.454897,-0.711478,0.890790,1.655407,-0.724433,34.000
193,train,1.428092,1.435566,0.485568,1.046955,0.676228,0.839489,-0.724433,23.000
194,train,-0.890867,-0.942444,-0.683659,-0.875053,0.783509,0.023571,-0.724433,26.000
195,train,-0.890867,-1.008500,-1.344526,-1.412514,0.676228,0.023571,1.745225,33.000
196,train,-0.890867,-0.942444,-0.963256,-1.015260,0.390145,0.567516,1.745225,29.500
197,train,1.428092,0.982612,0.612658,1.508470,-0.217780,0.295544,-0.724433,15.000
198,train,-0.890867,-0.546109,-0.353225,-0.162333,0.318625,1.655407,-0.724433,24.000
199,train,-0.890867,-1.197231,-1.039510,-1.364610,1.963600,-0.520374,1.745225,32.000
200,train,1.428092,1.907394,1.756466,1.705929,-1.433632,-1.336292,-0.724433,14.000
201,train,1.428092,1.341201,1.375197,0.706952,-2.685244,-1.608265,-0.724433,14.000
202,train,-0.890867,-1.121738,-1.217436,-1.459250,0.497426,1.383434,1.745225,39.100
203,train,1.428092,1.010922,0.866837,1.414999,-0.897227,0.023571,-0.724433,17.500
204,train,1.428092,1.010922,0.612658,0.976851,-0.038979,0.839489,-0.724433,17.000
205,train,0.268613,-0.404561,0.028044,-0.621512,-0.539624,-0.792347,-0.724433,21.000
206,train,-0.890867,-1.008500,-1.344526,-1.412514,0.711988,-0.248402,1.745225,33.000
207,train,-0.890867,-0.395124,-0.353225,-0.448589,-0.396582,1.383434,-0.724433,25.800
208,train,-0.311127,-0.631038,-0.073627,-0.203227,0.139823,0.567516,0.510396,20.300
209,train,-0.890867,-0.772586,-0.785330,-0.988387,-0.003218,-0.792347,0.510396,24.000
210,train,0.268613,0.020084,-0.454897,0.065504,0.568947,1.383434,-0.724433,20.200
211,train,-0.890867,-0.744276,-0.226135,-0.699794,-0.217780,0.567516,1.745225,23.900
212,train,-0.890867,-0.848078,-0.912420,-0.886737,0.497426,1.655407,1.745225,34.000
213,train,0.268613,0.322054,-0.404061,0.305025,0.962311,0.839489,-0.724433,20.200
214,train,-0.890867,-0.536672,-0.658241,0.264131,1.749038,1.383434,0.510396,28.100
215,train,1.428092,0.982612,0.587240,0.192859,-1.254830,-0.248402,-0.724433,13.000
216,train,-0.890867,-1.065119,-0.912420,-1.091206,1.105352,0.567516,1.745225,39.400
217,train,1.428092,1.133597,1.121017,1.697750,-0.718425,-0.520374,-0.724433,14.000
218,train,1.428092,1.907394,1.629376,1.944281,-1.433632,-0.248402,-0.724433,16.000
219,train,0.268613,0.491911,0.104298,0.749014,0.247104,0.023571,-0.724433,18.500
220,train,0.268613,0.255998,-0.149881,0.756025,0.783509,0.023571,-0.724433,20.000
221,train,-0.890867,-0.508363,-0.251553,-0.396012,-0.575384,1.655407,1.745225,32.000
222,train,1.428092,1.133597,1.121017,0.504820,-1.612434,-1.608265,-0.724433,18.000
223,train,-0.890867,-0.546109,-0.861584,-0.512851,-0.682665,0.023571,-0.724433,26.500
224,train,1.428092,1.907394,3.154454,1.488608,-2.148839,-0.792347,-0.724433,16.000
225,train,1.428092,1.907394,1.883556,1.420841,-1.576673,0.295544,-0.724433,16.000
226,train,-0.890867,-0.951880,-0.709077,-1.243097,-0.360822,0.295544,0.510396,29.000
227,train,1.428092,1.029795,2.391915,1.603110,-0.182020,-1.608265,-0.724433,10.000
228,train,1.428092,1.133597,1.121017,0.461590,-1.612434,-0.792347,-0.724433,15.000
229,train,-0.890867,-1.055682,-1.039510,-1.044470,0.855030,1.111462,1.745225,46.600
230,train,0.268613,0.312617,-0.022791,0.491968,0.497426,0.295544,-0.724433,20.500
231,train,-0.890867,-1.008500,-0.963256,-1.143784,0.962311,1.655407,1.745225,37.000
232,train,0.268613,0.312617,1.502287,0.515336,-0.754186,0.567516,-0.724433,17.700
233,train,-0.890867,-1.008500,-0.988674,-1.348253,-0.611144,1.111462,1.745225,44.600
234,train,0.268613,-0.234703,0.104298,-0.325908,-1.040268,1.383434,-0.724433,23.500
235,train,-0.890867,-1.121738,-0.988674,-1.231413,1.248393,-0.520374,1.745225,31.000
236,train,1.428092,1.133597,1.121017,1.253761,-0.539624,-1.064320,-0.724433,14.000
237,train,-0.890867,-0.602728,-0.404061,-0.342265,-0.003218,1.111462,1.745225,29.800
238,train,-0.890867,-0.951880,-0.454897,-1.021102,-0.360822,-1.336292,1.745225,27.000
239,train,-0.890867,-0.951880,-0.454897,-1.056154,0.354385,-1.064320,1.745225,27.000
240,train,-0.890867,-1.017936,-1.471616,-0.781582,2.929130,1.111462,0.510396,43.400
241,train,-0.890867,-0.951880,-0.454897,-0.847012,1.248393,-0.792347,1.745225,20.000
242,train,-0.890867,-0.942444,-0.912420,-1.026944,0.640468,1.655407,-0.724433,36.000
243,train,1.428092,0.982612,0.841419,0.661385,-0.968748,0.567516,-0.724433,20.200
244,train,0.268613,0.255998,-0.022791,0.711626,0.354385,-0.520374,-0.724433,18.000
245,train,-0.890867,-0.914134,-0.581987,-0.936978,-0.074739,0.023571,0.510396,27.000
246,train,1.428092,0.982612,0.587240,0.842486,-0.754186,0.839489,-0.724433,17.600
247,train,0.268613,0.567404,0.104298,-0.048999,-0.718425,-1.336292,-0.724433,18.000
248,train,-0.890867,-1.008500,-0.988674,-1.213887,-0.182020,1.655407,1.745225,38.000
249,train,1.428092,1.001485,1.121017,0.780561,-1.433632,-1.064320,-0.724433,17.000
250,train,1.428092,1.529932,1.121017,1.093691,-0.897227,0.839489,-0.724433,18.500
251,train,1.428092,1.001485,1.121017,0.780561,-1.433632,-0.792347,-0.724433,14.000
252,train,-0.890867,-1.017936,-1.471616,-1.190519,2.142402,0.567516,0.510396,43.100
253,train,1.428092,1.133597,1.121017,1.385789,-0.897227,0.023571,-0.724433,16.000
254,train,-1.470606,-1.206667,-0.226135,-0.787423,-0.718425,-1.064320,1.745225,19.000
255,train,0.268613,0.491911,-0.022791,1.043450,1.069592,-0.248402,-0.724433,16.000
256,train,1.428092,1.907394,1.121017,0.884548,-2.148839,-1.608265,-0.724433,15.000
257,train,0.268613,0.491911,-0.454897,0.348255,-0.003218,-1.336292,-0.724433,19.000
258,train,1.428092,1.001485,2.213990,2.019059,1.069592,-1.608265,-0.724433,9.000
259,train,-0.890867,-1.017936,-0.887002,-0.912442,0.354385,-0.248402,0.510396,25.000
260,train,-0.890867,-1.150048,-1.369944,-1.583100,0.354385,-0.520374,1.745225,31.000
261,train,-0.890867,-0.546109,-0.454897,-0.156491,0.926550,1.111462,-0.724433,26.400
262,train,-0.890867,-0.744276,-0.226135,-0.822475,-0.289301,0.567516,1.745225,27.200
263,train,1.428092,1.133597,0.993927,1.327369,-0.646905,0.295544,-0.724433,15.500
264,train,1.428092,1.529932,1.756466,0.954652,-1.612434,-0.792347,-0.724433,13.000
265,train,-0.890867,-1.036809,-0.759912,-1.097048,-0.360822,-1.336292,0.510396,30.000
266,train,-0.890867,-0.725403,0.104298,-0.471957,-0.968748,0.295544,0.510396,21.500
267,train,-0.890867,-1.055682,-1.039510,-1.202203,-0.110499,0.839489,1.745225,34.100
268,train,1.428092,0.586277,-0.404061,0.486126,2.392724,0.839489,-0.724433,23.900
269,train,-0.890867,-0.725403,0.231388,-0.389001,-0.718425,-0.248402,0.510396,25.000
270,train,1.428092,1.746972,1.883556,2.279610,-1.433632,-1.336292,-0.724433,12.000
271,train,0.268613,-0.234703,0.231388,-0.477799,-1.505153,0.839489,-0.724433,28.800
272,train,1.428092,1.133597,1.121017,1.093691,-0.825706,0.023571,-0.724433,13.000
273,train,0.268613,0.255998,-0.149881,0.497810,0.604707,0.567516,-0.724433,20.500
274,train,-0.311127,-0.725403,-0.988674,-0.063019,1.570237,1.111462,0.510396,36.400
275,train,1.428092,0.982612,0.866837,0.520009,-1.791235,-1.608265,-0.724433,17.000
276,train,0.268613,0.312617,-0.022791,0.439390,0.104063,0.567516,-0.724433,20.600
277,train,-0.890867,-0.857515,-0.785330,-0.927631,-0.396582,1.383434,1.745225,33.700
278,train,0.268613,0.001211,-0.276971,-0.116765,0.175583,-0.792347,-0.724433,23.000
279,train,0.268613,0.491911,-0.200717,0.608807,1.248393,0.295544,-0.724433,18.500
280,train,-0.890867,-0.442307,-0.556569,-0.431063,0.318625,1.383434,-0.724433,26.600
281,train,1.428092,1.133597,1.121017,0.877538,-0.539624,0.023571,-0.724433,13.000
282,train,-0.890867,-0.744276,-0.226135,-0.536219,0.533187,-0.248402,1.745225,24.000
283,train,0.268613,0.322054,-0.149881,-0.068861,0.175583,-0.792347,-0.724433,18.000
284,train,-0.890867,-0.819769,-0.658241,-0.991892,-0.253541,0.295544,-0.724433,30.000
285,train,1.428092,1.435566,1.502287,1.483934,-1.254830,-1.064320,-0.724433,13.000
286,train,0.268613,0.491911,-0.454897,0.157807,-0.360822,-1.336292,-0.724433,18.000
287,train,0.268613,0.322054,-0.149881,-0.432232,-0.897227,-1.336292,-0.724433,19.000
288,train,-0.890867,-0.876388,-0.785330,-0.904263,-0.360822,0.567516,-0.724433,30.900
289,train,0.268613,0.567404,-0.276971,0.220900,0.819269,0.023571,-0.724433,17.500
290,train,-0.890867,-0.734840,-0.683659,-0.442747,1.105352,1.655407,-0.724433,28.000
291,train,1.428092,1.133597,2.646095,1.610121,-0.718425,-1.608265,-0.724433,11.000
292,train,-0.890867,-0.876388,-0.810748,-0.950999,-0.468103,1.383434,0.510396,33.000
293,train,1.428092,1.445003,1.095599,1.555206,-0.360822,0.295544,-0.724433,16.000
294,train,1.428092,1.010922,0.993927,0.491968,-0.825706,0.567516,-0.724433,19.200
295,train,1.428092,1.445003,0.917673,1.226888,-0.432343,0.839489,-0.724433,15.500
