#,Split,MedInc (std),House Value ($100k)
156,train,1.343942,2.787000
157,train,0.212937,1.617000
158,train,0.923844,2.310000
159,train,-1.032563,0.875000
160,train,-1.228479,0.957000
161,train,1.240278,2.406000
162,train,-0.272942,2.141000
163,train,2.242733,4.286000
164,train,-1.309317,1.250000
165,train,-0.887793,0.764000
166,train,0.866253,2.638000
167,train,-0.617009,1.204000
168,train,-0.450259,1.091000
169,train,-0.400065,1.706000
170,train,0.777858,2.574000
171,train,0.937792,3.200000
172,train,-0.420142,2.896000
173,train,1.236421,3.073000
174,train,1.278267,3.255000
175,train,-1.115463,0.584000
176,train,-1.140982,0.485000
177,train,-1.042760,2.167000
178,train,-0.581979,0.979000
179,train,0.446049,1.586000
180,train,-0.828035,0.690000
181,train,1.499649,3.223000
182,train,1.590104,4.677000
183,train,-0.212339,1.630000
184,train,0.404203,2.871000
185,train,-1.255636,0.546000
186,train,-1.593046,0.904000
187,train,-0.331008,1.555000
188,train,-0.843780,1.750000
189,train,2.508497,4.112000
190,train,-0.168644,3.321000
191,train,-0.310666,1.412000
192,train,0.571217,2.471000
193,train,-0.689658,1.530000
194,train,-0.371111,1.550000
195,train,-0.335869,3.908000
196,train,-0.544888,0.900000
197,train,0.111545,1.967000
198,train,-0.422943,0.682000
199,train,3.925767,5.000010
200,train,-0.810758,0.921000
201,train,-0.429653,2.979000
202,train,3.135395,5.000010
203,train,1.018261,3.323000
204,train,0.869687,1.711000
205,train,0.230848,1.521000
206,train,-0.474986,2.320000
207,train,-1.550302,1.271000
208,train,-1.166132,0.875000
209,train,0.386873,2.034000
210,train,-0.585994,2.286000
211,train,-0.829990,1.167000
212,train,4.470663,4.167000
213,train,0.765653,2.276000
214,train,1.408613,2.679000
215,train,-0.912309,0.972000
216,train,-0.793798,1.375000
217,train,-0.780113,1.988000
218,train,-1.021626,0.686000
219,train,-0.191944,3.525000
220,train,-0.908663,1.038000
221,train,-0.592863,1.078000
222,train,0.239672,1.317000
223,train,0.186730,2.713000
224,train,0.095272,0.973000
225,train,-1.028442,0.950000
226,train,-1.196460,0.675000
227,train,0.491805,3.261000
228,train,-0.663980,0.656000
229,train,0.634462,2.256000
230,train,0.165279,2.638000
231,train,0.307619,3.483000
232,train,-0.315422,3.250000
233,train,-1.153240,1.088000
234,train,0.304977,4.000000
235,train,-0.761092,1.384000
236,train,-0.863594,0.610000
237,train,2.064042,4.531000
238,train,2.891241,5.000010
239,train,-0.524546,1.202000
240,train,0.614014,3.292000
241,train,-0.045008,1.963000
242,train,-0.622557,1.500000
243,train,-0.403446,1.520000
244,train,-1.022419,1.699000
245,train,-1.261448,1.375000
246,train,0.426500,2.830000
247,train,0.671447,4.045000
248,train,0.780025,1.935000
249,train,0.730306,2.051000
250,train,0.307038,1.456000
251,train,-0.766693,2.250000
252,train,0.008885,2.159000
253,train,-0.338088,1.585000
254,train,-0.135251,1.247000
255,train,-1.168774,0.654000
256,train,0.714772,2.802000
257,train,-0.743181,1.805000
258,train,-0.007758,1.054000
259,train,-1.552310,1.000000
260,train,-0.616692,1.663000
261,train,0.613327,1.580000
262,train,0.019029,2.438000
263,train,1.747608,3.629000
264,train,0.138121,2.019000
265,train,-0.666569,0.526000
266,train,0.715512,5.000010
267,train,-0.832738,1.120000
268,train,-0.337401,2.250000
269,train,1.904319,4.399000
270,train,-0.616903,0.883000
271,train,5.881857,5.000010
272,train,-0.282399,2.768000
273,train,-0.326412,1.792000
274,train,-0.148936,1.997000
275,train,-1.135910,1.320000
276,train,-1.109703,0.613000
277,train,0.754452,1.719000
278,train,-0.194322,1.238000
279,train,-0.893658,1.353000
280,train,0.869581,1.371000
281,train,-0.502514,1.293000
282,train,0.223980,2.279000
283,train,-0.366038,0.944000
284,train,-0.488512,1.035000
285,train,-0.346436,3.208000
286,train,1.813653,1.250000
287,train,1.794368,3.324000
288,train,0.283420,1.591000
289,train,1.081400,2.369000
290,train,2.620826,4.616000
291,train,-0.064663,1.569000
292,train,-0.411900,1.482000
293,train,-0.336556,1.665000
294,train,-1.043447,1.969000
295,train,-0.700067,1.678000
296,train,-0.830413,1.267000
297,train,-0.142279,5.000010
298,train,-1.322157,0.579000
299,train,0.753395,2.380000
300,train,0.345872,1.420000
301,train,-1.413932,0.869000
302,train,-0.961816,0.560000
303,train,1.469691,5.000010
304,train,-0.494535,1.124000
305,train,-0.722681,0.636000
306,train,1.907859,4.313000
307,train,-0.852023,2.659000
308,train,-1.085927,0.580000
309,train,2.064465,1.941000
310,train,-0.201930,1.428000
311,train,-0.656636,1.787000
312,train,-1.515219,1.875000
313,train,0.373664,2.250000
314,train,0.498092,3.130000
315,train,5.277150,5.000010
316,train,-0.307549,1.536000
317,train,-0.678668,0.623000
318,train,0.114240,1.945000
319,train,0.321462,1.639000
320,train,1.651288,3.988000
321,train,0.312744,2.041000
322,train,0.434425,1.993000
323,train,-0.876169,1.767000
324,train,2.826569,5.000010
325,train,0.871061,2.489000
326,train,-0.650613,1.500000
327,train,0.792547,2.317000
328,train,-0.776732,0.580000
329,train,0.086395,1.260000
330,train,-0.428015,1.633000
331,train,-0.506952,1.134000
332,train,-0.375919,3.000000
333,train,0.661989,3.109000
334,train,-0.104712,2.188000
335,train,-0.631486,0.704000
336,train,1.391071,2.377000
337,train,-1.047304,1.188000
338,train,-1.260127,0.731000
339,train,-1.472897,0.750000
340,train,2.630654,4.507000
341,train,0.995119,2.402000
342,train,-0.990083,0.658000
343,train,-0.986860,0.647000
344,train,0.104624,1.751000
345,train,-0.194322,2.237000
346,train,-0.566551,0.963000
347,train,1.062274,4.051000
348,train,0.770514,3.768000
349,train,3.930786,5.000010
350,train,-0.165738,3.500000
351,train,-0.996846,1.625000
352,train,-0.507322,1.773000
353,train,-1.395123,0.984000
354,train,-0.825077,1.388000
355,train,0.532171,1.750000
356,train,-0.700648,2.609000
357,train,-0.850860,1.047000
358,train,0.423647,1.595000
359,train,0.639640,2.959000
360,train,-0.316954,1.375000
361,train,1.611608,5.000010
362,train,0.842424,2.270000
363,train,-0.219102,2.639000
364,train,-0.128277,1.604000
365,train,-0.422467,1.420000
366,train,0.088720,1.625000
367,train,-0.177784,2.304000
368,train,1.849423,5.000010
369,train,0.444094,2.177000
370,train,-0.022605,1.830000
371,train,-0.253287,2.458000
372,train,-1.184096,1.292000
373,train,-1.266256,0.604000
374,train,-1.118950,0.675000
375,train,0.306826,2.952000
376,train,0.732842,1.926000
377,train,-0.169542,1.506000
378,train,0.408905,1.257000
379,train,-0.858416,0.634000
380,train,0.356862,1.513000
381,train,1.131542,2.456000
382,train,4.407260,5.000010
383,train,0.069858,1.655000
384,train,-0.270775,1.135000
385,train,-0.500717,3.222000
386,train,-0.130549,3.625000
387,train,-0.809067,0.696000
388,train,-0.543039,1.561000
389,train,-0.948079,0.875000
390,train,-0.118133,1.931000
391,train,0.214152,2.180000
392,train,-0.961182,1.018000
393,train,-1.151074,1.291000
394,train,-0.625357,1.563000
395,train,0.504644,1.832000
396,train,-0.781751,1.481000
397,train,5.881857,5.000010
398,train,0.948888,2.221000
399,train,-0.282769,1.676000
400,train,-0.719510,1.845000
401,train,-0.262903,3.700000
402,train,-0.186079,2.394000
403,train,0.057864,1.667000
404,train,-0.760405,2.333000
405,train,-0.703237,2.400000
406,train,-0.817785,0.913000
407,train,2.524295,4.835000
408,train,-0.110683,1.505000
409,train,-0.960812,0.995000
410,train,-0.494060,2.402000
411,train,-0.716235,0.955000
412,train,3.434552,5.000010
413,train,0.222976,2.516000
414,train,-1.341336,1.208000
415,train,0.152440,1.357000
416,train,0.510139,2.254000
417,train,0.093052,5.000010
418,train,-0.213184,0.851000
419,train,1.062538,5.000010
420,train,-0.414489,1.648000
421,train,-0.596509,1.116000
422,train,-0.032221,1.610000
423,train,0.894150,2.137000
424,train,-0.487191,1.165000
425,train,3.023806,3.500000
426,train,0.102880,1.599000
427,train,-0.382153,4.383000
428,train,0.436750,1.711000
429,train,-0.099376,2.711000
430,train,-0.602479,5.000010
431,train,-0.670215,0.680000
432,train,-0.619281,1.917000
433,train,1.023704,2.559000
434,train,-0.830413,1.125000
435,train,-0.073222,1.822000
436,train,0.749750,3.476000
437,train,0.643814,3.320000
438,train,-0.571729,1.109000
439,train,-0.095255,2.119000
440,train,0.193705,2.625000
441,train,0.109484,2.379000
442,train,-0.537755,0.900000
443,train,0.343495,4.272000
444,train,1.116325,3.705000
445,train,-0.425479,1.163000
446,train,-0.598516,1.708000
447,train,1.467789,2.855000
448,train,-0.385376,1.115000
449,train,-0.141486,0.832000
450,train,0.642493,2.482000
451,train,0.406211,3.955000
452,train,-0.362181,2.183000
453,train,1.984048,5.000010
454,train,-0.460351,0.889000
455,train,-0.537121,1.810000
456,train,0.819968,2.809000
457,train,-0.412957,3.453000
458,train,0.563450,1.810000
459,train,0.757569,1.922000
460,train,-1.219179,0.781000
461,train,-1.354809,0.750000
462,train,2.206963,4.333000
463,train,0.069858,1.601000
464,train,-0.711004,1.092000
465,train,0.102880,0.962000
466,train,0.321832,1.914000
467,train,0.886489,3.600000
468,train,0.618294,1.856000
469,train,-0.809596,1.188000
470,train,-1.187742,1.227000
471,train,0.790433,2.063000
472,train,0.249341,1.956000
473,train,-1.052905,0.756000
474,train,-0.194322,1.043000
475,train,0.245959,3.859000
476,train,-0.582084,1.139000
477,train,-1.198204,0.794000
478,train,-0.963295,0.813000
479,train,-0.437737,1.292000
480,train,-1.211994,0.735000
481,train,0.371392,1.759000
482,train,-0.268134,1.424000
483,train,-0.680095,2.341000
484,train,-0.170810,2.867000
485,train,-0.531626,0.925000
486,train,-0.031957,1.701000
487,train,-0.579601,1.618000
488,train,0.660087,2.253000
489,train,-0.808539,1.706000
490,train,-0.428173,3.194000
491,train,-0.338088,0.958000
492,train,-0.871678,0.734000
493,train,-0.143494,0.936000
494,train,-1.096442,0.517000
495,train,-0.537015,3.587000
496,train,-1.153082,0.647000
497,train,1.339345,3.442000
498,train,0.942284,3.140000
499,train,-0.648605,1.857000
500,train,0.903449,2.793000
501,train,-0.510386,1.194000
502,train,0.829954,2.804000
503,train,0.543161,1.871000
504,train,-0.905387,0.838000
505,train,-0.148090,3.093000
506,train,1.350176,2.292000
507,train,-0.570778,2.450000
508,train,0.872751,2.276000
509,train,0.606194,5.000010
510,train,-0.204942,3.208000
511,train,-0.062232,1.473000
512,train,0.656230,1.623000
513,train,1.557399,2.659000
514,train,1.560886,5.000010
515,train,0.259961,1.891000
516,train,1.919113,3.164000
517,train,-0.454116,1.819000
518,train,-0.357004,2.615000
519,train,-1.334679,0.690000
520,train,-0.908452,1.813000
521,train,0.565194,2.930000
522,train,0.264082,1.111000
523,train,0.527786,2.183000
524,train,-0.891227,1.472000
525,train,-0.967416,2.438000
526,train,0.371445,2.230000
527,train,-0.436469,1.375000
528,train,-1.122807,0.606000
529,train,-1.184995,2.750000
530,train,-1.265728,3.500000
531,train,-0.818736,1.712000
532,train,-0.804259,0.835000
533,train,-0.188563,2.250000
534,train,-0.764580,1.656000
535,train,-0.156597,1.520000
536,train,-0.508008,1.920000
537,train,1.412523,2.542000
538,train,-0.682314,1.500000
539,train,0.142718,2.125000
540,train,-1.175537,0.804000
541,train,0.936366,2.065000
542,train,1.226752,3.311000
543,train,0.838514,2.014000
544,train,0.693902,1.884000
545,train,0.394323,1.954000
546,train,2.292610,4.425000
547,train,0.312638,1.527000
548,train,3.728055,5.000010
549,train,0.719686,2.398000
550,train,-0.504204,1.594000
551,train,-0.282399,0.918000
552,train,0.126445,2.409000
553,train,-0.201138,1.364000
554,train,-1.086614,1.036000
555,train,0.049093,1.325000
556,train,-0.289426,2.929000
557,train,-0.528033,0.628000
558,train,-0.648710,1.121000
559,train,-0.166636,0.891000
560,train,-0.543409,1.207000
561,train,-0.253392,4.714000
562,train,0.457884,3.147000
563,train,0.295942,2.264000
564,train,0.095641,4.097000
565,train,-1.015761,1.490000
566,train,1.771754,1.717000
567,train,1.322015,2.355000
568,train,0.996070,3.228000
569,train,0.460949,2.445000
570,train,-0.032855,1.622000
571,train,1.410726,3.409000
572,train,-1.263033,0.574000
573,train,-0.372432,1.989000
574,train,-0.601000,1.097000
575,train,-1.196301,1.375000
576,train,0.149111,0.857000
577,train,-0.696527,0.983000
578,train,0.069858,1.782000
579,train,-0.656636,1.375000
580,train,-0.270670,2.750000
581,train,1.788714,3.815000
582,train,2.267619,5.000010
583,train,3.649541,5.000010
584,train,-0.159080,1.792000
585,train,-0.346912,2.045000
586,train,1.732233,3.941000
587,train,-0.410473,1.844000
588,train,-0.704188,1.740000
589,train,-0.536751,0.807000
590,train,0.223980,1.896000
591,train,-0.711691,0.600000
592,train,-0.854770,1.266000
593,train,-0.148936,2.625000
594,train,-0.544888,1.392000
595,train,-1.340649,0.513000
596,train,1.167946,2.292000
597,train,0.482189,1.011000
598,train,-0.707992,0.977000
599,train,-1.120905,1.583000
600,train,1.937553,3.491000
601,train,-0.158922,0.855000
602,train,0.642598,2.141000
603,train,0.411864,2.271000
604,train,-0.517942,1.557000
605,train,-1.218017,0.668000
606,train,0.786259,2.073000
607,train,0.138438,2.228000
608,train,-0.585994,3.545000
609,train,-0.142173,3.405000
610,train,-0.818102,0.529000
611,train,-0.590591,1.406000
612,train,-0.842090,1.508000
613,train,-0.939149,0.561000
614,train,1.091968,2.596000
615,train,-0.011721,3.189000
616,train,0.286009,1.484000
617,train,0.457250,2.899000
618,train,0.611848,1.618000
619,train,-0.762308,2.550000
620,train,-0.536540,0.875000
621,train,1.153838,2.450000
622,train,-0.500083,3.050000
623,train,-0.120933,2.150000
624,train,-0.112955,2.490000
625,train,5.881857,5.000010
626,train,-0.634603,3.200000
627,train,0.394798,1.740000
628,train,0.623419,2.925000
629,train,2.445359,5.000010
630,train,0.710651,2.899000
631,train,0.709911,4.384000
632,train,-0.373594,1.820000
633,train,-1.583800,1.705000
634,train,-0.666939,0.692000
635,train,-1.040911,0.956000
636,train,1.409564,2.728000
637,train,0.218485,0.813000
638,train,0.081323,2.724000
639,train,-0.553447,1.526000
640,train,-0.814140,0.559000
641,train,0.715882,2.135000
642,train,0.049516,3.313000
643,train,0.261969,2.018000
644,train,-0.755703,0.571000
645,train,0.211405,3.318000
646,train,0.448110,3.659000
647,train,-0.645646,1.275000
648,train,-0.283086,1.118000
649,train,0.805439,3.537000
650,train,0.195660,2.293000
651,train,-1.521084,0.875000
652,train,-0.785450,2.375000
653,train,-0.642740,1.133000
654,train,-0.774037,1.125000
655,train,-0.535219,1.385000
656,train,-0.250222,3.074000
657,train,-0.661127,1.009000
658,train,-0.998114,0.978000
659,train,-0.378032,1.767000
660,train,-0.703026,2.180000
661,train,-0.227344,2.906000
662,train,0.143141,1.577000
663,train,2.268411,3.480000
664,train,-0.881664,0.672000
665,train,-0.260367,2.604000
666,train,-0.345697,1.236000
667,train,-1.072190,0.675000
668,train,0.096275,1.307000
669,train,-0.796968,0.660000
670,train,0.381589,1.666000
671,train,0.375302,2.256000
672,train,-0.405454,2.571000
673,train,4.476951,5.000010
674,train,-0.593603,1.139000
675,train,-0.389181,0.910000
676,train,0.512358,2.174000
677,train,-0.713593,0.960000
678,train,-0.351192,1.292000
679,train,1.702856,3.502000
680,train,3.775660,4.421000
681,train,-0.524546,2.229000
682,train,-1.028812,0.813000
683,train,-0.337401,1.606000
684,train,1.420924,5.000010
685,train,1.697625,3.412000
686,train,1.225378,2.879000
687,train,1.448081,3.447000
688,train,0.478702,1.800000
689,train,0.682172,1.678000
690,train,-1.314390,0.550000
691,train,-1.184995,0.508000
692,train,0.028593,1.426000
693,train,0.334037,2.358000
694,train,-0.360861,1.127000
695,train,0.058868,2.102000
696,train,-1.001548,2.107000
697,train,-1.322579,0.654000
698,train,-0.693938,1.625000
699,train,-0.669105,1.503000
700,train,0.638477,5.000010
701,train,-0.608608,1.014000
702,train,-0.356898,2.218000
703,train,0.371762,2.603000
704,train,-0.619175,1.788000
705,train,-0.515723,1.704000
706,train,1.585983,3.194000
707,train,-0.284724,1.906000
708,train,-0.058639,1.841000
709,train,-0.527135,1.911000
710,train,0.508131,1.496000
711,train,0.724547,5.000010
712,train,0.114557,1.834000
713,train,2.498036,4.441000
714,train,-0.341417,2.427000
715,train,-0.947656,0.762000
716,train,-0.058956,1.329000
717,train,0.058075,4.098000
718,train,-0.618013,1.125000
719,train,0.937053,3.766000
720,train,-0.694361,0.505000
721,train,1.500759,5.000010
722,train,0.013270,2.095000
723,train,-0.508008,0.778000
724,train,0.879831,2.997000
725,train,0.359979,3.750000
726,train,-0.617801,1.565000
727,train,-0.125952,2.400000
728,train,-0.779268,0.772000
729,train,-0.500347,0.985000
730,train,-0.380463,5.000010
731,train,-0.152634,1.104000
732,train,-0.319067,0.864000
733,train,-0.848853,2.304000
734,train,-0.053778,1.639000
735,train,2.086973,5.000010
736,train,-0.890012,0.495000
737,train,0.077624,1.074000
738,train,-0.664878,3.625000
739,train,-0.615635,1.450000
740,train,-0.438688,2.185000
741,train,-0.307549,1.301000
742,train,-0.164628,1.460000
743,train,-1.012750,1.525000
744,train,1.567015,4.572000
745,train,0.606881,1.652000
746,train,-0.355947,3.947000
747,train,0.047825,1.444000
748,train,-0.481802,1.366000
749,train,1.167100,2.164000
750,train,-0.224650,1.390000
751,train,-0.765848,1.038000
752,train,1.134500,4.885000
753,train,0.157935,2.271000
754,train,0.176005,2.380000
755,train,1.169266,2.156000
756,train,1.136825,2.923000
757,train,-0.605491,1.459000
758,train,0.040428,1.873000
759,train,0.055803,1.854000
760,train,-0.687386,2.800000
761,train,-0.578227,1.411000
762,train,-0.714438,1.909000
763,train,0.135902,2.625000
764,train,0.355066,4.420000
765,train,1.271768,2.748000
766,train,-0.955159,0.855000
767,train,0.998659,2.318000
768,train,1.297552,3.020000
769,train,1.000456,2.358000
770,train,-0.433721,0.722000
771,train,-0.220264,1.824000
772,train,0.556529,5.000010
773,train,-1.154508,0.787000
774,train,-0.867240,1.813000
775,train,0.436380,1.980000
776,train,-0.270511,1.996000
777,train,-0.620126,0.633000
778,train,0.152440,0.940000
779,train,-0.336239,1.868000
780,train,-0.241504,1.170000
781,train,-0.385112,1.178000
782,train,0.141767,1.210000
783,train,-0.077766,2.309000
784,train,-0.159714,4.273000
785,train,-0.438424,1.281000
786,train,-0.315422,3.847000
787,train,0.392051,2.904000
788,train,-1.333041,0.913000
789,train,-0.920815,0.619000
790,train,0.436010,2.322000
791,train,-0.151948,1.296000
792,train,-0.586945,1.275000
793,train,-0.157654,1.505000
794,train,-0.686647,1.875000
795,train,2.989991,4.379000
796,train,0.358077,1.265000
797,train,2.162475,4.534000
798,train,0.591823,2.294000
799,train,0.338000,3.649000
800,train,-0.147562,1.919000
801,train,-1.682656,0.875000
802,train,-0.649292,0.300000
803,train,0.551985,3.357000
804,train,-0.035814,2.421000
805,train,0.049516,1.737000
806,train,-1.226524,0.541000
807,train,-0.119718,2.078000
808,train,-1.184995,1.125000
809,train,0.201947,1.667000
810,train,0.457884,2.718000
811,train,0.406105,1.411000
812,train,-0.920815,3.750000
813,train,-0.906655,1.616000
814,train,0.197826,1.594000
815,train,-0.714438,0.863000
816,train,0.249975,2.563000
817,train,-0.490784,2.132000
818,train,0.190112,2.541000
819,train,0.486046,1.326000
820,train,-1.176964,1.693000
821,train,0.043440,3.477000
822,train,-0.050238,1.597000
823,train,0.502425,0.909000
824,train,0.234970,2.905000
825,train,0.339320,1.899000
826,train,2.209658,4.956000
827,train,1.600830,3.333000
828,train,-0.077449,1.838000
829,train,-0.301632,1.890000
830,train,-1.204967,1.575000
831,train,-0.898043,0.666000
832,train,0.362357,1.324000
833,train,-0.388230,1.560000
834,train,-0.306862,3.481000
835,train,0.228365,2.264000
836,train,-0.967998,0.742000
837,train,-0.308395,1.583000
838,train,3.258291,5.000010
839,train,-0.610616,1.655000
840,train,-0.159873,3.295000
841,train,-0.524546,1.396000
842,train,0.021037,1.529000
843,train,0.677893,3.673000
844,train,-0.689658,0.700000
845,train,-0.713223,0.974000
846,train,-0.697901,0.659000
847,train,-1.397289,0.493000
848,train,-0.126956,1.541000
849,train,-0.537121,2.728000
850,train,0.651475,2.471000
851,train,-1.104261,2.688000
852,train,-0.108464,2.476000
853,train,1.467208,4.168000
854,train,-0.149306,1.216000
855,train,-0.359434,1.717000
856,train,-0.167693,1.738000
857,train,0.703941,2.356000
858,train,0.252247,2.601000
859,train,-0.806109,2.000000
860,train,0.682067,2.966000
861,train,0.082432,3.746000
862,train,0.130407,1.778000
863,train,0.821395,2.695000
864,train,-1.078583,0.620000
865,train,-0.183015,1.976000
866,train,-1.006938,0.527000
867,train,0.230267,1.914000
868,train,0.276393,3.177000
869,train,0.347774,3.294000
870,train,0.953907,3.307000
871,train,0.686347,1.874000
872,train,-0.104237,2.865000
873,train,-0.050238,5.000010
874,train,0.307143,1.339000
875,train,0.418944,1.998000
876,train,-1.589982,0.450000
877,train,1.502925,3.546000
878,train,0.361564,2.638000
879,train,0.038156,2.784000
880,train,-0.994891,1.604000
881,train,1.010125,2.413000
882,train,0.987775,2.083000
883,train,0.841737,2.636000
884,train,0.102880,1.450000
885,train,-0.661338,1.325000
886,train,-0.638619,1.838000
887,train,-0.553923,0.811000
888,train,-0.246471,1.765000
889,train,-0.452478,2.555000
890,train,-0.179634,1.661000
891,train,0.272536,1.020000
892,train,-0.337401,0.861000
893,train,-0.730606,1.006000
894,train,-0.436891,5.000000
895,train,0.761796,2.099000
896,train,-1.457416,0.525000
897,train,-0.435729,2.629000
898,train,0.855421,1.588000
899,train,-0.676185,2.095000
900,train,-1.142726,3.500000
901,train,0.571006,2.171000
902,train,-0.289743,1.414000
903,train,-0.501457,0.934000
904,train,-1.068914,1.982000
905,train,-0.546103,1.872000
906,train,-0.893499,1.853000
907,train,5.881857,5.000010
908,train,0.787474,2.813000
909,train,-0.612624,1.036000
910,train,1.133549,2.879000
911,train,-0.511337,2.083000
912,train,1.132651,1.750000
913,train,-1.025694,1.327000
914,train,-0.429442,1.720000
915,train,3.833251,5.000010
916,train,-1.040224,0.640000
917,train,-0.455331,2.279000
918,train,-0.820321,0.631000
919,train,-1.082651,0.841000
920,train,1.028829,3.392000
921,train,-0.458501,1.563000
922,train,0.551985,3.836000
923,train,0.038896,1.371000
924,train,-0.814826,0.568000
925,train,-0.684956,0.700000
926,train,-0.971855,0.963000
927,train,-0.275372,0.926000
928,train,1.457539,3.591000
929,train,-0.056737,1.587000
930,train,0.445256,5.000010
931,train,-0.261740,1.146000
932,train,2.242310,4.102000
933,train,-0.400223,2.819000
934,train,-0.429494,1.017000
935,train,-0.710106,1.693000
936,train,-0.299835,2.078000
937,train,0.008515,3.272000
938,train,0.092313,2.779000
939,train,-0.552866,1.114000
940,train,-1.116519,0.806000
941,train,0.886912,2.075000
942,train,0.617343,2.753000
943,train,0.823984,4.210000
944,train,0.223980,1.288000
945,train,-0.186555,3.139000
946,train,-0.275583,0.676000
947,train,-1.027227,0.644000
948,train,-0.845313,1.539000
949,train,-0.616428,1.307000
950,train,-0.553183,2.385000
951,train,0.927595,3.796000
952,train,-0.550383,1.465000
953,train,-0.310666,1.503000
954,train,-0.778158,0.803000
955,train,-0.713012,2.933000
956,train,0.656177,2.880000
